age,sex,capital-gain,capital-loss,hours-per-week,workclass_mean_encoding,education_mean_encoding,marital-status_mean_encoding,occupation_mean_encoding,relationship_mean_encoding,race_mean_encoding,country_mean_encoding,outcome
27,0,1173.7597113465376,84.56425610317825,38,0.21865443425076453,0.3055764883195177,0.11195652173913044,0.1322314049586777,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
45,0,1173.7597113465376,84.56425610317825,40,0.28549141965678626,0.14991694352159468,0.4465132024373731,0.4737470167064439,0.4440993788819876,0.2552278820375335,0.2444633730834753,1
29,1,1173.7597113465376,84.56425610317825,55,0.21865443425076453,0.3055764883195177,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.10851419031719532,0.2444633730834753,1
30,0,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.3055764883195177,0.04844778927563499,0.12433862433862433,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
29,1,2202.0,84.56425610317825,50,0.3152610441767068,0.3055764883195177,0.11195652173913044,0.220462850182704,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
51,1,1173.7597113465376,84.56425610317825,47,0.21865443425076453,0.5609756097560976,0.4465132024373731,0.47342995169082125,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
58,1,15024.0,84.56425610317825,60,0.3152610441767068,0.14991694352159468,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
22,0,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.14991694352159468,0.04844778927563499,0.1322314049586777,0.09333849728892331,0.10909090909090909,0.2444633730834753,0
50,0,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.23354564755838642,0.11195652173913044,0.26337448559670784,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
50,1,3103.0,84.56425610317825,40,0.21865443425076453,0.14991694352159468,0.4465132024373731,0.220462850182704,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
43,1,1173.7597113465376,84.56425610317825,42,0.3152610441767068,0.3055764883195177,0.04844778927563499,0.26337448559670784,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
37,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.14991694352159468,0.11195652173913044,0.04395604395604396,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
41,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.3055764883195177,0.04844778927563499,0.47342995169082125,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
46,0,1173.7597113465376,84.56425610317825,45,0.21865443425076453,0.04681647940074907,0.4465132024373731,0.47342995169082125,0.4440993788819876,0.2552278820375335,0.2444633730834753,0
33,0,1173.7597113465376,84.56425610317825,35,0.21865443425076453,0.3055764883195177,0.4465132024373731,0.038980509745127435,0.4440993788819876,0.2552278820375335,0.2444633730834753,1
45,0,1173.7597113465376,84.56425610317825,25,0.21865443425076453,0.14991694352159468,0.08852459016393442,0.1322314049586777,0.09333849728892331,0.10851419031719532,0.2444633730834753,0
43,1,3103.0,84.56425610317825,48,0.21865443425076453,0.23354564755838642,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
52,1,1173.7597113465376,84.56425610317825,40,0.5566037735849056,0.3055764883195177,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
38,0,7688.0,84.56425610317825,33,0.36649214659685864,0.23354564755838642,0.4465132024373731,0.1322314049586777,0.4440993788819876,0.2552278820375335,0.2444633730834753,1
32,0,1173.7597113465376,84.56425610317825,30,0.3152610441767068,0.3055764883195177,0.11195652173913044,0.4737470167064439,0.09333849728892331,0.10851419031719532,0.2444633730834753,0
40,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.04681647940074907,0.4465132024373731,0.12433862433862433,0.4517374517374517,0.2552278820375335,0.02631578947368421,0
31,1,1173.7597113465376,84.56425610317825,40,0.28549141965678626,0.14991694352159468,0.11195652173913044,0.3088235294117647,0.016683022571148183,0.10909090909090909,0.2444633730834753,0
51,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.5609756097560976,0.11195652173913044,0.3088235294117647,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
23,0,1173.7597113465376,84.56425610317825,30,0.21865443425076453,0.14991694352159468,0.04844778927563499,0.1322314049586777,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
29,1,1173.7597113465376,84.56425610317825,48,0.21865443425076453,0.3055764883195177,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
32,1,1173.7597113465376,84.56425610317825,35,0.28549141965678626,0.3055764883195177,0.04844778927563499,0.47342995169082125,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
59,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.14991694352159468,0.04844778927563499,0.1322314049586777,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
32,0,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.3055764883195177,0.04844778927563499,0.47342995169082125,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
33,1,1173.7597113465376,84.56425610317825,50,0.36649214659685864,0.3055764883195177,0.04844778927563499,0.4737470167064439,0.09333849728892331,0.2552278820375335,0.2444633730834753,0
18,0,1173.7597113465376,84.56425610317825,33,0.21865443425076453,0.14991694352159468,0.04844778927563499,0.26337448559670784,0.016683022571148183,0.2552278820375335,0.2444633730834753,0
53,1,5178.0,84.56425610317825,40,0.21865443425076453,0.04681647940074907,0.4465132024373731,0.220462850182704,0.4517374517374517,0.10909090909090909,0.2727272727272727,1
32,1,1173.7597113465376,84.56425610317825,40,0.21865443425076453,0.3055764883195177,0.4465132024373731,0.4737470167064439,0.4517374517374517,0.2552278820375335,0.2444633730834753,1
